[
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/runTest()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/getXMLContext()|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/setXMLContext(org.exolab.castor.xml.XMLContext)|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/setUp()|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/UnmarshalDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ConfigurationTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ConfigurationTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/UnmarshalDescriptor/getIdentity()|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/CustomTestDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/CustomTestTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/CustomTestTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/CustomTestDescriptor/getIdentity()|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/FailureDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/FailureTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/FailureTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/FailureDescriptor/getIdentity()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/TestSourceGenerator/createSourceGenerator()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/TestSourceGenerator/createSourceGenerator()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/TestSourceGenerator/createSourceGenerator()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/TestSourceGenerator/checkExpectedSources()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/TestSourceGenerator/checkExpectedSources()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/TestSourceGenerator/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/TestSourceGenerator|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/TestSourceGenerator/setUp()|>>,
