[
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2702,47,<66,8>,<66,55>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2760,43,<67,8>,<67,51>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2814,71,<68,8>,<68,79>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2896,46,<69,8>,<69,54>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalPrecisionType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2963,59,<71,8>,<71,67>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(3033,55,<72,8>,<72,63>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(3099,41,<73,8>,<73,49>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalPrecisionDecimalsType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(3151,71,<74,8>,<74,79>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalPrecisionDecimalsType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(3233,71,<75,8>,<75,79>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalLengthType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(3345,54,<78,8>,<78,62>)>,
